Full TOI ID,Label,Flux1,Flux2,Flux3,Flux4,Flux5,Flux6,Flux7,Flux8,Flux9,Flux10,Flux11,Flux12,Flux13,Flux14,Flux15,Flux16,Flux17,Flux18,Flux19,Flux20,Flux21,Flux22,Flux23,Flux24,Flux25,Flux26,Flux27,Flux28,Flux29,Flux30,Flux31,Flux32,Flux33,Flux34,Flux35,Flux36,Flux37,Flux38,Flux39,Flux40,Flux41,Flux42,Flux43,Flux44,Flux45,Flux46,Flux47,Flux48,Flux49,Flux50,Flux51,Flux52,Flux53,Flux54,Flux55,Flux56,Flux57,Flux58,Flux59,Flux60,Flux61,Flux62,Flux63,Flux64,Flux65,Flux66,Flux67,Flux68,Flux69,Flux70,Flux71,Flux72,Flux73,Flux74,Flux75,Flux76,Flux77,Flux78,Flux79,Flux80,Flux81,Flux82,Flux83,Flux84,Flux85,Flux86,Flux87,Flux88,Flux89,Flux90,Flux91,Flux92,Flux93,Flux94,Flux95,Flux96,Flux97,Flux98,Flux99,Flux100,Flux101
118.01,1,0.98730394,0.820282264,0.988213154,0.983321109,1.034585498,1.311062145,0.978887288,0.825125638,0.974998346,0.989897118,1.053823501,0.965476985,0.871104726,1.197533288,0.779646548,0.922043622,0.73081475,0.896496856,1.224463653,0.671929997,0.839529238,1.068332037,1.268137476,0.940995507,0.99624343,0.902086553,0.993620968,1.250580956,0.86205436,0.876520749,1.232768906,0.913953223,1.163883247,1.120513182,1.0141325,0.958020678,0.871148525,0.884838232,1.043161837,1.043956242,0.987644544,0.991121196,1.344998224,1.108926679,0.854887326,-0.231884581,-0.6632666,-0.278308229,-0.772019296,-0.745473183,-1,-0.632332073,-0.342120803,-0.973383578,-0.842931928,-0.574421503,0.702272608,0.852698124,0.761514929,0.850732211,0.976371348,0.901404501,0.993966664,0.931450246,1.448389188,0.977290607,0.472900638,1.015898106,0.643032322,0.967461221,0.872774433,0.808309156,1.065542635,1.124318348,1.052844332,0.818541889,1.152667268,1.247513526,1.010235246,0.972541671,0.857771641,0.884853386,1.099087781,1.167607217,1.309149296,0.755458215,1.367187664,0.866075884,0.7618698,0.952722877,1.403730072,0.88109345,1.156052128,0.872610546,1.072346316,1.038960815,1,0.933411268,0.97311852,1.046276801,0.757993201
1183.01,0,0.983320511,0.991029935,0.980705447,1.00124399,1.00213463,0.998591117,0.984502966,0.988627888,0.998616001,1.013107852,0.996832496,1.020163721,0.967137561,1.008469898,1.008052784,0.980517413,1.017793961,0.996950219,0.998159075,1.004199975,0.986143636,0.99950732,0.98455739,1.026865102,1.010335826,1.028589247,1.002800982,0.977909127,0.99898968,0.983912696,1.006649547,1.001343185,1.009214648,0.989318518,0.991321645,1.012603766,1.033824583,0.999494853,0.991296042,1.029253336,0.977538017,0.964852366,0.962222207,0.953719189,0.857461228,0.295808822,-0.413603044,-0.809482043,-0.947018306,-0.989859397,-1,-0.950376206,-0.904518201,-0.839298882,-0.523792396,0.166249959,0.80331485,0.987467735,0.995167286,0.95838744,1.004261557,0.996542861,0.977944646,0.976756381,0.975167725,0.97374165,1.015036346,0.985624076,0.988511607,1.010638618,1.014544814,0.993959777,0.986034393,1.00513189,1.011183342,0.985941282,1.015190844,0.971760374,1.001942089,0.992309846,0.992679636,0.999469582,1.001914559,1.022943638,0.995967584,0.973813397,1.006913736,0.99622928,0.993077306,0.993561478,1.00154903,0.996831264,0.992961226,1.027226411,0.999348014,1.011589054,0.992498903,1.020375365,0.97090754,0.984150124,1.019565112
120.01,1,0.968979269,0.972075884,0.911276073,1.035996801,1.04389778,0.988781758,1.05124414,0.992586896,0.988048571,1.051024265,0.962318422,0.994731702,1.029023923,0.991562219,1.004682335,1.068865172,0.999560467,0.97473448,0.986635374,1.029752371,0.997561355,0.959419117,0.989220471,0.965662796,1.056334816,1.007316051,0.957075655,1.003414329,1.000097535,0.99873186,0.967808476,1.023887697,1.00759137,0.953724187,0.980898859,0.887393291,0.940127564,1.010649405,1.110073139,0.972247867,0.95407901,1.004020438,1.055170532,1.000503384,0.489647172,-0.455378507,-0.753988809,-0.9334327,-0.834948616,-1,-0.974025886,-0.933937802,-0.938042094,-0.80702881,-0.645793555,-0.520723715,0.401269103,0.981926182,0.921734297,0.937615116,1.004425581,0.906846549,0.943454214,0.922738232,0.973357462,1.039874378,0.974232171,0.967738591,0.95922902,1.053058328,0.978883826,1.026627142,0.949964459,1.047254027,0.930312497,1.058770423,1.017168137,0.964883413,0.971907843,1.075207215,0.955419776,1.056088404,0.950884176,1.004779767,1.013997762,1.012290568,0.993000291,1.095700044,1.013169783,0.963616469,0.964833034,1.048041938,1.005511171,1.018777042,0.948886692,1.007852661,0.969637552,0.94166918,1.110842551,0.969711125,1.011413764
1229.01,0,1.00737332,1.000591693,1.013878985,0.977087826,1.028984922,0.972307872,1.012663512,1.004702416,1.014956526,0.978857355,1.015125244,0.99895066,1.020346009,1.004965472,0.985081219,0.984785929,1.01161763,0.948650241,0.983305398,0.973939972,0.97832044,0.955610968,0.998696301,0.999898078,0.974546189,0.979554209,0.956730969,0.961466165,1.004005018,0.983615178,1.003748726,1.025401329,0.995586153,1.040958372,1.002068349,0.921453658,0.999182195,1.071210624,0.952996617,1.007599603,1.057610327,1.059051369,1.0662443,1.056241181,0.792888448,-0.500892008,-0.743071065,-0.811093081,-0.968274182,-0.988666629,-1,-0.955577593,-0.936027462,-0.791901835,-0.778170224,-0.482288864,0.74064255,1.014048073,1.074164096,1.019257112,1.04451371,1.000063139,1.066323495,1.062831031,1.006617739,0.982817249,1.009292979,1.058248903,1.07633741,0.998645414,0.965424232,0.992238217,1.024534477,0.985457412,0.989042756,1.003484584,1.00217011,1.015785817,0.982997449,1.023200329,0.994206362,0.976969277,0.992557933,1.023270481,1.002322669,1.018401145,0.993988781,0.983780925,1.002790318,0.993905122,0.990707898,1.069136674,1.00390046,0.987124199,0.989949695,0.971959426,1.017097336,1.036284214,1.017045244,1.004868189,0.920682757
123.01,1,1.013246904,0.985609314,0.973277344,0.990922947,0.996310596,1.008414396,0.967763884,0.992694162,0.9948706,0.979408698,1.024425625,0.992601177,0.994428894,0.98789798,1.015717636,0.972475363,1.003542115,1.067226174,1.008451606,0.980666348,0.969079971,1.010478514,1.033023032,1.00391138,0.986881285,1.025646807,1.001623294,0.98564352,0.991218899,1.009740084,0.973133825,0.967526808,1.013585306,1.020402453,0.982625123,1.00642314,0.950677397,0.983089965,0.997882142,1.013020198,1.001206968,1.001120156,0.990462201,0.988490816,0.543422609,-0.631703246,-0.80886844,-0.938797509,-0.963653971,-0.985515942,-1,-0.967273799,-0.945152824,-0.885041798,-0.82125683,-0.640469371,0.616992168,1.001815451,1.077460613,1.015715124,1.031040532,1.053190715,1.114678712,1.019864641,1.045914068,1.011573884,1.009508354,1.026343884,1.015736533,0.994021742,1.033948721,0.987821921,0.970186878,0.975278438,1.072694109,1.05518292,0.934535328,0.989223504,0.989113422,0.997195762,1.022435751,0.991789542,0.958812592,0.989297715,1.016309911,1.028284938,1.020441969,0.959741109,0.984557831,1.056750217,1.004594531,0.972231988,1.013175358,1.021915846,0.963870496,1.016716395,1.012360726,1.002951772,0.999926218,1.035395281,1.001475966
125.01,1,1.196815074,1.126790871,1.227084834,1.083183528,1.155520076,0.730111659,1.076692323,0.641501836,1.129742877,1.108026535,1.045711617,1.010476755,0.755066322,0.757115851,0.880646235,1.032581579,1.217595894,1.149824839,0.84769912,0.777278993,0.650816588,1.000527921,0.649354835,0.637564357,1.160589407,1.054989962,0.797947208,1.081418816,0.829433503,0.886018018,1.199334744,1.037759316,0.823201883,0.832480402,1.344360646,0.713423699,0.853061279,0.786787787,0.889112082,0.898161514,1.281645519,1.211528804,1.10876037,1.066415361,0.235974082,0.056494932,-0.511192584,-0.162805098,-0.640783036,-0.825023294,-0.44895667,-0.655855848,-1,-0.536662196,-0.023216255,-0.140992733,0.31583505,1.118032721,0.844885603,1.027599884,0.927068401,0.72729389,0.785708732,0.879654043,0.764690822,0.542357265,0.728494002,0.732769209,0.832068587,0.876874633,0.809879446,1.011030913,1.146069315,0.983274657,0.959194413,0.734915547,1.236080561,1.156738621,0.526584508,0.94119404,1.201914778,1.263613764,0.793144493,1.319537495,1.056240725,0.916537288,0.75301707,1.420160413,1.34702382,0.667900333,0.974336194,1.194382271,0.462260374,0.936930232,1.055779089,1.59517925,0.788999912,1.045350378,0.818489371,1.088068661,0.963564415
125.02,1,1.08368646,0.650568512,0.704989938,1.1223507,1.12623749,1.167337684,0.7378009,0.909292472,1.210902158,0.915308109,1.045731995,0.997078746,1.231148213,1.04521577,0.649505446,0.822140147,0.88715298,1.159774248,0.903697776,0.914005173,1.101884391,0.741960736,0.867229073,1.192537428,1.003939377,0.609422431,0.650929269,1.002285785,1.040009938,1.021527554,1.132902924,0.900700614,1.213445468,0.548202632,0.659463958,0.622503586,0.647352528,0.943177122,0.65247549,0.793895956,0.97138298,0.420552145,0.919569864,1.306506283,0.581377896,-0.253776762,-0.172238649,0.003023599,-0.340129074,-0.511157011,-0.618088174,-1,-0.413893501,-0.160365142,-0.133171396,-0.101140234,0.449526389,0.937021563,0.397799385,0.653596227,0.656434095,0.571207338,0.914595965,1.001001772,0.886449165,0.731926648,0.782541424,0.799221265,0.57071383,0.987430822,0.690185268,0.88039126,1.002349707,0.911339702,1.102396986,1.001651275,1.234864155,0.894483083,1.010165184,0.838307775,0.933088303,1.117714822,0.841279049,1.261246761,1.038824544,1.169679546,1.236424567,1.058931351,0.844963451,0.788283528,0.708557466,0.796682594,1.0568928,0.897881373,1.163176692,1.251858444,0.973228485,0.789709352,0.993142618,0.882700777,0.846505092
1250.01,0,-0.002691274,0.564048098,0.787373517,0.983864558,1.636263972,1.529034655,-0.711590112,0.89715738,0.821405911,1.358548694,3.051761234,1.343464842,0.96068776,0.613454733,1.70645105,1.224831729,1.762275754,0.371391668,1.309731286,0.324472119,1.490784316,1.826461537,1.652622482,1.026462132,1.063480435,0.766351264,0.510739427,1.348200645,0.690448006,1.507118655,1.0113479,0.95148594,1.159154409,0.806320474,1.308534228,2.117045098,1.13961236,1.818757219,0.39687058,0.442583327,0.967364642,0.752879519,0.814328741,0.888329616,1.284456577,0.393492786,0.012826252,-0.080775935,0.262981228,1.115912441,0.166351248,-0.279870626,1.730741788,-0.184492883,2.116799617,-0.509514347,0.80330981,0.01214059,1.620413387,0.662661943,1.52069306,-0.192592918,0.79758539,1.336019139,0.845101627,-0.766292881,-1,-0.34399859,1.380180234,0.844759381,-0.867827544,1.990537034,1.130782777,0.278611193,2.023680644,1.522989654,0.808558439,1.359901768,0.593371498,1.516103272,0.463376879,1.10728831,1.026968506,1.079642193,1.601907657,1.212170381,0.902264346,2.083346919,1.22837773,0.788576821,2.1529967,0.670691886,0.089242657,0.021949001,0.09015063,1.950182382,0.955392768,1.305099809,0.704495964,0.327115233,-0.016861693
1256.01,0,0.830096875,0.871841763,1.205873793,0.907278814,0.908084125,1.113513799,0.995622593,1.167224257,1.048908032,1.042276339,0.84176183,1.133507615,1.006669907,0.542307647,0.951047495,1.174955119,1.235634949,0.948769031,0.772174554,1.153724535,0.840190904,0.865976817,1.057438913,0.924337065,0.932070469,1.011081047,1.06860633,0.747424481,0.957230462,0.710379197,0.998412825,0.786132949,0.878024547,0.713596698,0.75968349,0.845997293,0.706736034,0.994946921,0.680018098,0.754232798,0.540992495,0.606763021,0.845140105,0.659209018,0.729326452,0.167366908,-0.171581943,-0.125938083,-0.397541044,-1,-0.773188773,-0.920521569,-0.56388552,-0.10435843,-0.164066096,0.367445021,0.504678412,0.528443687,0.826288885,0.884502487,1.250452152,0.646176198,0.92528067,1.355549852,0.65847435,0.839846016,1.104557214,0.708439435,0.647814235,0.828158716,0.897325751,0.606185366,0.767763192,0.261932593,1.063688109,0.949550691,1.085957238,1.203921762,1.412416295,0.974351095,0.757363229,0.965661372,1.080552147,0.974551073,1.160475119,0.986938264,0.799237552,0.860986591,0.976691261,1.154292461,1.089314753,1.155753411,0.731799932,1.111160206,0.881112251,1.291463613,1.284970158,0.854125946,1.110742857,0.903884795,0.948962424
127.01,1,1.006403628,0.858372411,0.976788867,0.991692598,1.046610289,1,1.074592967,1.082352414,0.910917178,0.914972556,0.933155219,0.98047224,0.887973646,0.970051649,1.123962446,1.029679168,0.975228779,1.028051886,0.92051721,1.077388042,0.969005133,1.162301876,0.91825002,0.914918396,0.948974404,1.105732268,0.981328914,0.887642742,1.058858772,1.087567372,0.950944763,1.032077899,0.961734364,1.192987055,0.915856863,0.933510739,1.128334983,1.032163258,1.030075529,1.017206323,1.058443481,1.119878305,0.984067145,1.00439873,0.977393861,0.144308766,-0.509666525,-0.764949769,-0.973294081,-1,-0.93254465,-0.800259259,-0.930463964,-0.804433742,-0.487041653,0.168306115,0.842237008,1.094279139,1.01608354,1.132712235,0.963464557,1.182463042,1.053609496,1.134945913,1.175289351,1.087084848,1.242381845,1.056242358,1.093069425,1.176187462,0.938531462,0.926059233,1.006507978,1.047897632,0.98847339,1.008140181,1.160942092,1.043789786,0.993202799,0.979908411,1.005615969,0.937980023,1.067950001,0.949699566,0.965796228,1.08141134,0.912187269,1.081001276,0.99748077,1.022867125,0.925974492,0.938919722,1.083725441,0.957594773,0.890733192,1.000480753,1.060102446,1.188738459,0.876144501,1.105096002,0.909615339
