Full TOI ID,Label,pl_trandep,st_tmag,st_dist,st_teff,st_logg,st_rad
402.02,1,0.001365145,0.242708097,0.035055655,0.386933649,0.848598424,0.25493696
408.01,0,0.002171789,0.340666818,0.086037343,0.461538462,0.860408616,0.286082024
412.01,0,0.001945064,0.278785817,0.360391424,1,0.736964872,0.881260231
414.01,0,0.013672276,0.306372571,0.090052487,0.492051323,0.680574164,0.371018697
450.01,0,0.131681791,0.553443714,0.041853787,0.014401124,0.860509442,0.287199518
455.01,1,0.005736755,0.282568988,0.005373307,0.103617843,0.964416248,0.077831069
456.01,0,0.042200071,0.803235806,0.030880625,0.493150685,0.860509442,0.287199518
459.01,0,0.001540071,0.33582067,0.224450685,0.629991205,0.766245073,0.588150148
467.01,0,0.004151777,0.390965449,0.118509711,0.512469266,0.870120855,0.280547402
472.01,0,0.191227784,0.544862781,0,0.056550755,0.860509442,0.287199518
478.01,0,0.040605624,0.452551599,0.269488662,0.590094837,0.826139477,0.39422729
482.01,0,0.033756379,0.603205564,0.135965848,0.126448894,0.92700018,0.140153365
485.01,0,0.003722674,0.369705905,0.220746865,0.546540218,0.831745004,0.363907637
496.01,0,0.052474774,0.546200953,0.619037711,0.657715101,0.814362248,0.444409661
497.01,0,0.02705286,0.614334316,0.04406724,0.06340007,0.959442821,0.086734254
498.01,0,0.002258144,0.338363953,0.147342402,0.570073762,0.827279584,0.38315862
506.01,0,0.001559515,0.401912754,0.209081594,0.405338953,0.86177752,0.27142135
513.01,0,0.038459573,0.726098133,0.148798429,0.051633298,0.966659622,0.07725667
516.01,0,0.080145802,0.681076586,0.117724361,0.024060414,0.982231391,0.058014303
517.01,0,0.02433802,0.614704771,0.325573955,0.447839831,0.852158351,0.297429564
528.01,0,0.050466853,0.624638996,0.15046112,0.174394099,0.908533547,0.176053304
529.01,0,0.198191164,0.683012021,0.049319624,0.00860555,0.990274188,0.049398317
531.01,0,0.012010576,0.658070613,0.130869518,0.086055497,0.946806634,0.105689422
543.01,0,0.077388221,0.751115143,0,0.019845451,0.98489358,0.055429507
549.01,0,0.046917156,0.690005292,0.063089463,0.006498068,0.990760866,0.048536718
550.02,0,0.049472576,0.302555379,0.048507208,0.369511767,0.913249092,0.192581349
553.01,0,0.001941959,0.374688138,0.084604313,0.437829294,0.886152158,0.241205664
556.01,0,0.001568963,0.468896953,0.114912274,0.367053038,0.895798472,0.203177863
562.01,1,0.002649413,0.274857488,0.007385588,0.093607306,0.951200312,0.103104627
565.01,0,0.041304325,0.583873894,0.773461566,0.572356867,0.82685883,0.385068497
566.01,0,0.005798066,0.568503818,0.065385596,0.071654373,0.954977401,0.093339843
572.01,0,0.033298847,0.562077569,0.51690381,0.640850018,0.815800954,0.441316523
576.01,1,0.006978804,0.284500643,0.089308594,0.586757991,0.838855162,0.36424366
577.01,0,0.0518661,0.552755727,0.532495052,0.767298911,0.803201607,0.52116086
621.01,0,0.014636905,0.22887276,0.144026564,0.856691254,0.792442331,0.588632643
623.01,0,0.014375892,0.384508959,0.215405856,0.605900948,0.815541134,0.426965163
632.01,0,0.01323703,0.395426023,1,0.355655093,0.457594025,0.244930067
633.01,0,0.028947336,0.665169729,0.091125695,0.051808922,0.860509442,0.287199518
634.01,0,0.000525585,0.304264005,0.072618956,0.509308044,0.860887539,0.295579999
635.01,0,0.000404387,0.226967566,0.045951846,0.516684229,0.865715543,0.289023234
636.01,0,0.096348279,0.725636955,0.124115112,0.05374078,0.965224793,0.078979867
638.01,0,0.000673419,0.288583957,0.075590382,0.537056551,0.85621465,0.311680404
639.01,0,0.424997754,0.76676495,0.125812533,0.110467158,0.934358525,0.126654987
643.01,0,0.099689887,0.649822333,0.068658021,0.06796628,0.956792266,0.090467848
653.01,0,0.000858723,0.258410826,0.167353979,0.541271514,0.673444617,0.926520003
657.01,1,0.023717339,0.554509715,0.439808825,0.553213909,0.830455597,0.369269652
662.01,0,0.000598312,0.234308611,0.068263077,0.598524763,0.860509442,0.377288262
668.01,0,0.070379565,0.471543056,0.269189071,0.559711978,0.848664349,0.333720095
670.01,0,0.003019341,0.457420428,0.149790756,0.476993326,0.870153818,0.272992906
671.01,0,0.035613104,0.304868829,0.218818689,0.874077977,0.816506735,0.51567535
673.01,0,0.043154683,0.517849853,0.530186716,0.551808922,0.830725112,0.368132342
677.01,1,0.0205611,0.314961896,0.110928419,0.610115911,0.84903469,0.351506361
679.01,0,0.016858633,0.369311257,0.250835804,0.646821215,0.756193516,0.586395359
694.01,0,0.034308429,0.465268012,0.175125351,0.418503681,0.864569619,0.279009449
695.01,0,0.001741269,0.426672715,0.11267512,0.45995785,0.849478711,0.304913984
701.01,0,0.002412598,0.443078551,0.170227861,0.503161222,0.848707006,0.316175077
708.01,0,0.000771088,0.435238527,0.167986796,0.64348437,0.892796966,0.280054281
735.01,0,0.001173881,0.333870114,0.095239399,0.411766789,0.7523156,0.369697579
749.01,0,0.118383235,0.667709987,0.18157164,0.110642782,0.93397655,0.126942187
753.01,0,0.054155533,0.695456264,0.467570654,0.45995785,0.849478711,0.304913984
764.01,0,0.032951381,0.458418387,0.617439632,0.642781876,0.815539195,0.442784112
768.01,0,0.0564478,0.542904665,0.367641836,0.524060414,0.836192973,0.34668141
792.01,0,0.004536087,0.501179406,0.16834036,0.375128202,0.881120562,0.240043367
803.01,0,0.001394118,0.319460195,0.315839207,0.421145065,0.644391274,1
831.01,0,0.013150045,0.280063506,0.067318075,0.498068142,0.841453365,0.328780264
909.01,0,0.000611569,0.147123308,0.040535431,0.542160179,0.831812867,0.453338694
